doc_id,user_id
1,10001
2,10002
3,10003
4,10004
5,10005
6,10006
7,10007
8,10008
9,10009
10,10010
11,10011
12,10012
13,10013
14,10014
15,10015
16,10016
17,10017
18,10018
19,10019
20,10020
21,10021
22,10022
23,10023
24,10024
25,10025
26,10026
27,10027
28,10028
29,10029
30,10030
31,10031
32,10032
33,10033
34,10034
35,10035
36,10036
37,10037
38,10038
39,10039
40,10040
41,10041
42,10042
43,10043
44,10044
45,10045
46,10046
47,10047
48,10048
49,10049
50,10050
51,10051
52,10052
53,10053
54,10054
55,10055
56,10056
57,10057
58,10058
59,10059
60,10060
61,10061
62,10062
63,10063
64,10064
65,10065
66,10066
67,10067
68,10068
69,10069
70,10070
71,10071
72,10072
73,10073
74,10074
75,10075
76,10076
77,10077
78,10078
79,10079
80,10080
81,10081
82,10082
83,10083
84,10084
85,10085
86,10086
87,10087
88,10088
89,10089
90,10090
91,10091
92,10092
93,10093
94,10094
95,10095
96,10096
97,10097
98,10098
99,10099
100,10100
